id,name,description,rarity,category,trigger,condition,effect,element,magnitude,magnitude2,suppresses_base_use
lava_emitter,熔岩放射器,"使用武器时在持用者周围生成熔岩。",Common,emitter,on_swing,,spawn_material,lava,16,0,No
green_crescent,翠月弯刃,"旋转斩击挥出一道翠绿能量新月，斩断路径上的敌人。",Uncommon,projectile,on_combo_step,,spawn_projectile,,1,0,No
fireball_fan,火球扇,"每次挥击释放五枚火球的扇形攻击。",Common,projectile,on_swing,,spawn_projectile,on_fire,5,0,No
icicle_volley,冰锥齐射,"每次攻击发射五枚冰锥。",Common,projectile,on_swing,,spawn_projectile,chilly,5,0,No
gleaming_projectile,辉光弹,"每次挥击释放一颗辉光弹，击碎敌方子弹，在弹幕中清出一条通路。",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
lightning_bolt,落雷,"召唤一道闪电劈向标记目标，有几率造成眩晕。并非每次攻击都会触发。",Rare,projectile,on_hit,,spawn_projectile,lightning,1,0,No
arc_volley,弧光齐射,"三段连击的前两击各发射七颗弹丸。",Rare,projectile,on_combo_step,,spawn_projectile,,7,0,No
triangular_volley,三角齐射,"三段连击的第三击以三角阵型喷洒十三发飞弹。",Rare,projectile,on_combo_step,,spawn_projectile,,13,0,No
bouncing_bullets,弹跳弹,"前冲旋转召唤一道冲天震波，释放四枚弹跳弹。",Uncommon,projectile,on_combo_step,,spawn_projectile,,4,0,No
splitting_rounds,分裂弹,"追击突刺散射三发弹药，命中后各分裂为四枚碎片。",Uncommon,projectile,on_combo_step,,spawn_projectile,,3,4,No
penetrating_shockwave,穿透震波,"蓄满力释放一道巨大穿透震波，沿途抹除敌方弹丸。",Rare,projectile,on_charge,,spawn_projectile,,1,0,No
oil_emitter,油污放射器,"每次挥击留下一滩可燃油污——点燃它，引爆一场火海。",Common,emitter,on_swing,,spawn_material,oil,24,0,No
water_emitter,水泉,"挥击喷洒水花，熄灭火焰并浸湿地面以配合冰冻连击。",Common,emitter,on_swing,,spawn_material,water,24,0,No
gas_emitter,瘴气喷口,"每次挥击喷出一团毒气，使其中一切中毒。",Uncommon,emitter,on_swing,,spawn_material,gas,20,0,No
frost_emitter,冰霜放射器,"在脚下铺设一片冰面——湿滑难行，令大意者寒颤。",Uncommon,emitter,on_swing,,spawn_material,ice,18,0,No
blood_emitter,血雨喷洒,"将鲜血喷洒在地，为浴血系协同提供燃料。",Common,emitter,on_swing,,spawn_material,blood,20,0,No
coal_seeder,煤炭播撒器,"散布可燃煤块，缓慢燃烧成持久的火焰。",Uncommon,emitter,on_swing,,spawn_material,coal,12,0,No
dust_veil,尘幕,"每次挥击扬起一团遮蔽视野的尘埃。",Common,emitter,on_swing,,spawn_material,dust,20,0,No
venom_edge,毒牙刃,"攻击使敌人中毒，随时间持续造成伤害。",Common,status,on_hit,,apply_status,poisoned,2.0,0,No
soaking_strike,浸润打击,"攻击将敌人浸透，为冰冻或电击做铺垫。",Common,status,on_hit,,apply_status,wet,2.0,0,No
greased_edge,涂油刃,"被击中者身涂油污——一点火星即可引燃。",Common,status,on_hit,,apply_status,oiled,2.0,0,No
frostbite_edge,冻伤刃,"每次命中汲取体温，使敌人逐步走向深度冻结。",Uncommon,status,on_hit,,apply_status,chilly,2.0,0,No
ember_edge,余烬刃,"攻击点燃敌人，使其燃烧不止。",Uncommon,status,on_hit,,apply_status,on_fire,2.0,0,No
rending_edge,撕裂刃,"伤口血流不止，使敌人陷入血污与虚弱。",Common,status,on_hit,,apply_status,bloody,2.0,0,No
