id,name,description,type,rarity,cooldown,damage,weapon_texture,modifier_slots,pre_attached_modifier1,pre_attached_modifier2,pre_attached_modifier3,crit_chance,crit_multiplier,crit_status,archetype,reach,arc,projectile_speed,projectile_lifetime,spread,projectile_count,projectile_texture,free_carve,hit_status
rusty_sword,Rusty Sword,"90-degree swing arc. Moderate reach, moderate speed.",Melee,Common,0.5,3.0,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,28,90,,,,,,,
bone_dagger,Bone Dagger,"60-degree arc. Fastest swing speed. Short reach, low damage.",Melee,Common,0.25,1.5,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,20,60,,,,,,,
broad_axe,Broad Axe,"120-degree arc. Long reach. Hard hits, slow swing.",Melee,Common,0.7,4.5,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,36,120,,,,,,,
flame_blade,Flame Blade,"Leaves lava pools on swing. Built-in Lava Emitter.",Melee,Common,0.4,2.5,res://textures/Weapons/sword_01c.png,3,lava_emitter,,,,,,melee,32,90,,,,,,,
throwing_knife,Throwing Knife,"Single fast straight-flying projectile. Quick cooldown, long lifetime.",Ranged,Uncommon,1.0,7.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01a.png,3,,,,,,,ranged,,,180,2.0,0,1,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/arrow_01a.png,,
fire_orb,Fire Orb,"Slow short-lived orb. Highest single-shot ranged damage.",Ranged,Uncommon,1.5,11.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01e.png,3,,,,,,,ranged,,,90,1.5,0,1,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/fish_01a.png,,
spread_shot,Spread Shot,"Fires 3 projectiles in a 30-degree fan. Weak per bolt, heavy total if all land.",Ranged,Uncommon,1.2,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_02a.png,3,,,,,,,ranged,,,150,2.0,30,3,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/arrow_02a.png,,
boss_staff,Boss Staff,"Single bolt with subtle spread. Longest projectile lifetime.",Ranged,Rare,1.0,9.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,,,,,ranged,,,,,10,,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/arrow_03a.png,,
willowblade,Willowblade,"Quick swings on tap. Charged thrust lands a guaranteed critical.",Melee,Common,0.42,2.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01a.png,3,,,,,,,willowblade,28,90,,,,,,,
flame_sword,Flame Sword,"Critical hits set foes on fire. Leaves lava pools behind the wielder.",Melee,Uncommon,0.4,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01b.png,3,lava_emitter,,,0.15,2.0,on_fire,melee,28,90,,,,,,,
frost_sword,Frost Sword,"Wide arc. Critical hits freeze enemies solid.",Melee,Uncommon,0.4,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01c.png,3,,,,0.15,2.0,chilly,melee,28,90,,,,,,,
qinggang_sword,Qinggang Light Sword,"Alternating up-and-down swings.",Melee,Rare,0.38,4.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01d.png,3,,,,,,,qinggang,28,90,,,,,,,
blood_blade,Blood Blade,"Full charge unleashes a rapid burst of lunging swings that carry the wielder forward.",Melee,Rare,0.35,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01e.png,3,,,,,,,blood_blade,28,90,,,,,,,
tao_sword,Tao Sword,"Heavy greatsword. Slow wide swings.",Melee,Common,0.65,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02a.png,3,,,,,,,melee,40,120,,,,,,,
dragon_fang,Dragon Fang,"Three fast thrusts per use. Skewers straight ahead without slowing movement.",Melee,Uncommon,0.55,1.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02b.png,3,,,,,,,dragon_fang,40,120,,,,,,,
heavenly_sword,Heavenly Sword,"Wide frost-touched swings. Critical hits freeze enemies solid.",Melee,Uncommon,0.65,4.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02c.png,3,,,,0.15,2.0,chilly,melee,40,120,,,,,,,
grand_knight_sword,Grand Knight's Sword,"Three-hit combo: two arcing slashes, then a thrust. High damage up close.",Melee,Rare,0.7,7.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02d.png,3,,,,,,,grand_knight,40,120,,,,,,,
deep_dark_blade,Deep Dark Blade,"Forward spin into a grounded thrust.",Melee,Rare,0.7,7.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02e.png,3,,,,,,,deep_dark,40,120,,,,,,,
broadsword,Broadsword,"Wide swing across everything ahead. Holding the attack slows movement.",Melee,Common,0.55,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03a.png,3,,,,,,,melee,34,140,,,,,,,
executioner,Executioner,"Tap for a single chop. Charge for up to two spinning slashes. Short reach, quick wind-up.",Melee,Uncommon,0.6,5.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03b.png,3,,,,,,,executioner,34,140,,,,,,,
void_sword,Void Sword,"Charge drags nearby enemies inward. Release cuts them in a single arc.",Melee,Uncommon,0.58,4.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03c.png,3,,,,,,,void_sword,34,140,,,,,,,
caliburn,Caliburn,"Long reach. 35% critical chance.",Melee,Rare,0.55,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03d.png,3,,,,0.35,2.0,,melee,34,140,,,,,,,
phantom_blade,Phantom Blade,"Upward slash into a forward thrust. The edge passes through enemy guard.",Melee,Rare,0.5,5.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03e.png,3,,,,,,,phantom_blade,34,140,,,,,,,
iron_mace,Iron Mace,"Blunt head. Crushes armor, stuns on impact. Slow swing.",Melee,Common,0.7,4.5,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,26,100,,,,,,,
rapier,Rapier,"Thrusting blade. Very fast, narrow reach, 30% crit chance.",Melee,Uncommon,0.3,2.0,res://textures/Weapons/sword_01c.png,3,,,,0.3,2.0,,melee,30,45,,,,,,,
cleaver,Bone Cleaver,"Wide front arc. Low damage per hit, hits all foes ahead.",Melee,Common,0.5,3.0,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,30,120,,,,,,,
war_scythe,War Scythe,"Sweeps a full 300-degree arc. Hits flanks and rear.",Melee,Uncommon,0.62,4.5,res://textures/Weapons/sword_01c.png,3,,,,,,,war_scythe,44,300,,,,,,,
twin_daggers,Twin Daggers,"Strikes twice per swing. Low damage per hit, high total output.",Melee,Uncommon,0.28,1.0,res://textures/Weapons/sword_01c.png,3,,,,,,,twin_daggers,22,60,,,,,,,
